Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
BN1_1 - Adapter 1	6179048	2205276	873431	456282	387743	339630	299334	299693	275473	257280	239491	224144	199029	186543	170174	152767	144555	130779	108222	104187	94643	80891	76003	66587	59125	49700	47346	40700	36951	34940	28249	27670	24189	22118	20029	17925	16361	14952	14076	12929	11810	11178	10128	9591	9546	7685	13336	1716	5039	8475	6444	2403	5800	5249	3044	3784	7691	3715	2915	2781	3846	758	867	4286	1211	912	1105	4206	641	1268	811	483	164	349	1028	1084	1047	1026	942	848	818	769	798	686	678	644	688	640	555	532	440	440	385	329	304	292	278	262	255	249	231	191	131	108	97	82	80	76	96	73	88	108	71	45	44	51	59	32	31	48	31	37	27	21	18	34	57	24	45	41	40	44	20	42	15	38	32	29	11	18	9	33	34	48	22	36	21	62	12	25	7755
BN1_2 - Adapter 1	6857263	2517342	1028583	486201	395311	341771	300315	321869	248848	267733	226359	226489	200733	196064	156489	151553	157090	105155	133187	98727	77993	82002	74302	67922	62825	49033	42491	42634	33683	34422	28824	26912	24414	21097	20451	22222	14612	12573	14083	16108	12697	13795	4809	11419	6660	20871	8632	2861	10042	1422	4347	1429	1952	1109	3955	6073	1493	3351	7638	1860	1529	5475	1718	841	4972	5825	1007	1243	859	374	714	856	347	313	333	363	350	519	713	734	770	710	701	654	644	584	602	658	568	554	449	472	370	340	303	296	259	289	268	220	215	218	129	114	102	94	92	111	107	74	116	65	100	80	77	89	60	44	72	37	47	59	111	71	40	50	43	53	22	111	26	48	84	22	22	51	46	70	23	44	22	53	32	80	34	43	34	76	28	30	36
BN2_1 - Adapter 1	6756607	2323771	953021	517008	460171	401083	353381	353943	328610	306288	284611	265676	239284	219968	204425	178660	171245	157039	126193	124049	109776	95915	90201	78816	69952	59208	55181	48751	44332	40369	33506	32235	28338	26492	23641	21904	18064	17856	16458	14959	14074	13013	12481	11051	11009	9514	14871	2045	5901	7161	6567	5678	5723	5397	5002	4455	4672	3886	3847	4337	3286	2715	1795	3696	2507	2308	1396	4023	2487	2852	982	470	263	523	1127	1262	1132	1202	1019	957	945	782	759	730	719	701	749	634	583	528	490	405	390	329	343	289	303	286	242	261	214	190	147	134	89	82	76	73	94	74	102	74	38	62	38	50	55	27	36	38	33	30	21	30	21	28	82	27	46	28	24	47	28	18	22	39	12	14	26	17	8	29	20	27	9	21	15	41	19	22	4602
BN2_2 - Adapter 1	7573570	2822028	1160315	550365	458713	400765	357360	387987	289448	318151	274846	271510	237998	239650	179854	179229	203235	109349	154137	115665	95591	97553	88439	77104	73815	58596	53335	51401	39948	38803	35514	30574	28866	25869	23572	21743	21310	20560	15464	11539	13585	12890	12376	14947	7068	15614	10945	5295	18493	2092	6270	1460	2817	1336	5019	7451	1411	4226	13296	1852	1090	7219	1139	722	5506	5047	588	1156	552	433	757	1042	434	411	418	444	509	721	832	841	877	725	723	697	692	654	677	642	615	552	484	451	387	313	344	279	299	308	283	240	204	231	146	124	100	111	101	87	95	92	125	69	60	82	100	70	41	57	80	47	68	45	119	63	40	48	25	43	20	130	22	47	67	30	17	52	29	66	19	31	17	39	20	94	43	51	21	83	18	18	20
BN3_1 - Adapter 1	4976041	1834755	751407	430182	384580	340786	303787	301584	277058	261935	242525	229269	205410	192564	177452	160537	150263	136463	111686	107439	97405	84169	78771	70674	62393	53782	50918	43907	40115	36419	30351	29601	27033	24505	22280	20022	17901	17390	15664	14207	13428	13345	10750	10933	10976	8623	14986	1824	5681	6942	7035	4977	5795	5554	5003	4627	5130	3886	3873	4303	3530	2459	1721	3897	2531	2263	1392	4223	2179	2593	1143	514	228	475	1073	1148	1195	1103	1044	945	853	773	760	668	685	566	618	577	517	488	394	377	312	319	275	208	226	206	234	221	179	154	96	70	71	84	50	67	58	48	62	97	26	24	20	30	35	19	20	21	32	8	10	10	7	23	77	6	37	30	20	21	17	6	10	6	3	5	10	9	8	32	7	13	10	41	8	22	15	19	4566
BN3_2 - Adapter 1	5686775	2117405	909877	452497	388645	342474	307648	326507	247215	263836	236653	230787	205744	207179	157803	156079	178430	93746	137187	99894	80444	84764	76751	70424	66749	52841	45726	46296	35742	35430	31211	29088	25994	24511	22992	18743	18229	20810	11844	14471	28601	8936	2946	15877	4909	24875	9120	2321	9572	2849	3032	3235	2452	2711	4676	5923	3008	3894	5740	2725	2579	4254	2793	1807	3857	5087	2744	2075	2757	1186	1182	1101	551	343	282	308	324	528	648	759	760	708	659	613	671	532	567	582	576	504	405	409	343	355	279	260	247	228	265	227	161	200	100	86	85	85	51	68	60	88	126	75	57	42	76	75	54	49	94	47	63	49	72	64	33	26	40	57	26	92	4	49	53	38	30	17	23	51	20	7	7	33	13	75	75	72	12	93	20	61	24
BN5_1 - Adapter 1	5447602	1892793	754798	398138	340851	298283	263749	262739	245798	229988	212712	200020	179673	167546	153151	137540	130520	119530	98897	95229	87667	74936	70145	61956	54921	46698	44296	38858	35795	32801	27872	26929	23112	22041	19915	17272	16276	15449	13431	12646	12663	10880	10791	10730	9169	9120	14523	2076	5610	14909	6884	1764	9287	5649	2121	4851	12480	4491	1755	1678	4329	356	671	4818	632	601	1239	3955	381	1077	930	585	129	341	1119	1458	1449	1414	1328	1230	1126	1058	1007	914	887	878	899	812	786	698	687	542	477	426	411	388	371	355	345	336	313	232	200	171	112	130	128	111	97	100	116	149	72	60	44	54	77	43	72	52	39	36	28	22	17	28	57	20	61	44	21	36	22	53	7	25	26	9	13	8	34	41	18	33	11	31	26	48	11	19	6641
BN5_2 - Adapter 1	6121175	2232466	912572	424484	343758	298746	263530	278727	228139	237435	204299	202519	181279	179443	136829	136817	144085	94263	110275	98520	75875	76060	68916	60566	57454	46815	42453	39452	33808	30717	30376	25302	23718	21878	20619	16991	16130	18712	11692	12894	22531	6403	5034	11762	6802	14783	8009	4686	9275	5161	4504	5240	3713	3998	4736	5389	3177	3874	5641	2805	2831	4176	2765	2472	4073	3683	2494	2318	2674	1986	2122	2067	1406	935	778	685	699	732	862	824	926	893	838	778	825	772	805	779	763	660	635	535	481	418	428	382	354	364	336	354	295	267	183	172	122	150	127	141	96	113	117	118	93	85	109	77	60	73	75	48	68	39	65	50	34	34	19	34	22	83	23	55	67	19	24	38	38	53	35	59	24	48	33	61	50	22	18	77	45	32	27
MC1_1 - Adapter 1	5168023	1702072	665068	350079	307524	266283	233283	233271	216997	202581	186852	175291	154978	147034	133120	120485	114027	104214	89178	126193	29030	65058	59751	53777	47788	40370	38641	34636	30484	28090	23885	23520	19460	19118	16437	15164	13677	12874	11908	10833	10508	9595	9121	8490	8610	6871	13208	1675	3405	9155	4984	1597	5564	5320	2236	3192	7825	3315	2043	1995	2970	505	596	3685	778	622	843	3232	358	791	628	349	73	257	660	807	815	800	737	668	582	568	569	481	485	447	450	429	401	326	323	251	265	228	208	207	196	160	172	127	116	106	92	78	52	65	56	48	62	51	47	45	34	40	34	23	25	37	28	23	13	10	14	8	18	12	21	9	9	12	12	13	17	10	1	19	10	17	8	14	27	24	18	23	15	24	12	43	1	11	5989
MC1_2 - Adapter 1	5917857	2201508	867986	377673	302530	264847	235481	251738	195776	209145	184109	178926	157800	158218	118213	119455	130723	77513	99269	81466	67158	66159	59093	54896	50709	39889	34635	36397	27668	27417	24689	22438	20061	18332	16954	15554	13722	12517	12104	13073	8528	9765	9165	10672	5607	14230	7421	3212	14921	1473	3259	1172	2015	1092	3636	5699	1153	3170	9821	1504	824	5311	838	504	4026	3868	444	844	409	292	547	741	317	330	298	312	326	479	653	581	540	532	543	480	499	432	423	399	414	312	301	253	260	224	196	213	195	185	159	129	121	104	96	75	55	73	68	71	50	64	50	30	31	36	43	24	17	33	27	18	8	48	12	9	13	14	23	22	12	16	14	15	32	33	23	23	29	28	9	25	5	16	19	24	9	23	19	33	17	10	13
