Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ON1_1	ON1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32469891.0	0.0	151.0	53.0	18.552047950343603	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ON1_2	ON1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32469891.0	0.0	151.0	53.0	20.602618480009202	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
ON2_1	ON2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29261654.0	0.0	151.0	53.0	19.83437980369588	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ON2_2	ON2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29261654.0	0.0	151.0	53.0	22.89101644368318	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
ON3_1	ON3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33071144.0	0.0	151.0	52.0	18.783256007694664	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ON3_2	ON3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33071144.0	0.0	151.0	52.0	21.642852039246886	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
ON4_1	ON4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50862284.0	0.0	151.0	53.0	18.403306899969238	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ON4_2	ON4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50862284.0	0.0	151.0	53.0	19.30975397868152	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
ON5_1	ON5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41260004.0	0.0	151.0	52.0	18.19167379221899	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
ON5_2	ON5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41260004.0	0.0	151.0	52.0	20.737381432318887	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WC1_1	WC1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34634926.0	0.0	151.0	53.0	16.711940598887878	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
WC1_2	WC1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34634926.0	0.0	151.0	53.0	17.727943160049822	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
WC2_1	WC2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22618148.0	0.0	151.0	53.0	24.45168529826786	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
WC2_2	WC2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22618148.0	0.0	151.0	53.0	25.450044709668674	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WC3_1	WC3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34877429.0	0.0	151.0	52.0	19.019716001241576	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
