Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
BR712_1 - Adapter 1	4191142	1529617	673270	392028	363055	330082	299476	295393	270550	259008	240303	231361	213589	202871	191531	173088	168611	155928	128775	127502	116334	106061	101879	97088	90555	79307	77772	74548	66828	65716	57120	58885	51111	53388	51671	50417	44487	44279	45008	41338	41740	41389	34567	37082	38641	32678	57040	7000	23069	28742	28352	21668	24593	23750	21328	19610	23147	16796	18003	19661	14857	11153	7109	18159	11597	9964	5760	20138	9321	10774	4064	1895	1154	2180	4860	5286	4966	4974	4790	3980	3598	3288	3258	2954	2767	2636	2700	2346	2249	2004	1838	1627	1414	1278	1157	1150	1099	1081	1075	940	902	749	652	530	475	446	468	447	403	421	357	305	263	211	221	165	174	166	124	122	101	64	73	38	35	32	38	21	16	10	15	17	22	33	23	46	31	17	28	25	39	64	32	40	28	99	40	73	57	63	18012
BR712_2 - Adapter 1	4774733	1861849	833910	413991	365790	331634	302362	324783	237224	269042	230977	236355	215264	226593	160838	172604	186259	123513	139230	128524	109280	107402	100582	93911	96709	79197	73433	77594	61542	66683	56651	57837	55953	50089	50965	48540	46012	43818	44931	40566	47299	31245	37149	50326	22315	81194	38032	15251	68128	6680	19502	5669	9098	5430	20872	32643	6478	18393	52350	9196	5172	30657	6032	2768	23555	28675	3195	5200	2645	1581	2928	4076	1518	1351	1654	1687	1830	2876	3865	3481	3206	3001	2962	2770	2655	2500	2583	2189	2132	1837	1750	1571	1344	1222	1132	1111	1043	1044	1027	922	891	769	627	497	446	413	468	439	399	411	343	281	257	197	229	172	161	176	140	111	93	60	80	42	40	34	26	17	14	16	18	16	31	25	26	50	31	14	30	37	39	71	32	35	26	100	39	78	52	20	49
BR713_1 - Adapter 1	4591897	1816375	752635	411282	367290	333427	295309	297885	273892	259154	244258	233427	210717	200779	185792	171827	162051	150983	125513	121886	115591	102591	99204	91420	84259	74638	73831	66263	62034	61321	52462	52553	50895	47172	46788	44174	41094	40011	36482	36987	34181	35268	30261	31231	31368	27601	45779	5588	18599	23195	23628	13964	18743	18323	15120	14301	18293	12438	12023	12509	12087	5463	3889	13177	6097	4997	3676	12218	3769	4894	2235	976	433	975	2407	2395	2398	2226	2010	1810	1554	1332	1251	1126	1148	1074	1095	946	771	761	668	585	545	474	448	390	400	352	417	358	309	282	204	173	137	134	123	114	114	127	107	131	100	109	62	49	61	61	52	76	52	45	31	35	46	29	62	26	32	13	27	18	31	27	18	46	34	24	21	10	18	50	18	31	10	34	34	77	27	19	6219
BR713_2 - Adapter 1	5026776	1932276	850301	428111	373373	335425	295327	315298	251771	264235	232578	232955	212597	215585	162358	170971	175804	120456	137024	123328	105031	103210	97017	91094	89505	71607	69708	68874	56482	58599	54823	50053	51157	53692	40151	42524	41897	40074	41766	32134	37694	49785	11921	37284	21352	40371	35950	14030	55463	5586	20154	4127	9579	3952	15463	23579	4458	12846	36665	5929	3106	19809	3292	1925	15159	11861	1464	2851	1342	941	1708	2153	828	777	834	778	846	1294	1592	1550	1381	1176	1170	1035	1083	993	972	872	698	741	623	579	544	437	444	386	359	360	379	328	289	273	203	170	146	125	123	125	119	136	101	102	103	106	74	61	54	86	57	45	76	54	88	59	36	37	31	38	23	46	38	33	47	43	26	18	24	26	29	29	11	44	31	52	29	57	20	104	39	36	51
BR714_1 - Adapter 1	4592987	1789855	704452	378843	332472	298044	263617	262453	234990	223644	207181	198753	181927	172689	160549	147246	139267	128855	104742	102515	96381	84604	83994	78219	71543	63441	63422	56747	54100	52464	43939	45204	42488	41515	39741	38552	36593	34323	32345	31148	29139	29301	27804	33107	23862	25381	48194	5808	18225	96975	39945	4170	24770	16195	3264	2656	12242	5046	982	1111	1970	835	1126	6681	2230	1577	1190	4693	447	398	559	611	164	234	1008	1965	2281	2269	2183	1745	1593	1428	1405	1294	1218	1198	1190	1040	898	865	825	719	579	522	495	482	481	432	452	444	371	327	254	249	224	179	180	164	187	183	125	150	134	99	87	103	96	77	61	70	51	39	35	37	36	41	46	33	46	33	20	22	38	30	39	37	39	24	24	22	14	46	23	40	19	60	40	80	52	178	74313
BR714_2 - Adapter 1	4979699	1893033	785950	396553	338634	299536	267219	291684	196429	231776	194576	199810	182118	189618	140333	143435	170940	83597	134681	94703	76175	86082	82209	80533	77554	61752	54577	61637	46727	55755	40316	45550	43191	43905	35903	37055	36891	32906	37240	25262	30022	49322	8007	39152	13990	68082	21338	6912	41751	4897	10942	5607	6553	4191	14405	20464	5511	11749	25044	6547	4953	17195	5287	2581	14260	15683	2901	3766	2500	1094	1772	2067	830	647	713	761	823	1463	1777	1487	1424	1329	1285	1175	1142	1107	1092	974	862	845	791	692	583	503	504	466	466	429	416	419	371	349	253	245	231	201	182	160	190	182	128	118	159	114	103	104	76	87	66	61	61	51	74	55	21	39	27	28	17	42	18	47	45	43	36	33	39	41	34	47	15	56	24	43	22	47	35	98	38	37	611
BR715_1 - Adapter 1	4364846	1677717	665860	353132	307987	276572	243418	243596	221635	208372	195543	186039	167772	160644	147553	134380	128329	117131	98700	94852	89232	78991	76711	70206	64779	57588	55895	50864	48252	45985	39971	39772	38715	36363	35682	30955	31587	31118	26869	27761	29667	24482	22455	21886	24123	20819	36195	5573	10937	17398	17288	10840	14194	13578	11841	10790	13595	9324	9493	10165	8881	4753	3295	9821	4846	4196	2810	9590	3278	4175	1930	859	396	846	2038	1984	2051	1883	1557	1429	1378	1115	1076	1025	889	828	855	758	701	659	572	532	416	402	356	373	369	326	331	325	280	235	180	180	149	127	122	112	130	125	111	123	82	85	61	55	88	56	53	59	44	51	28	38	32	26	43	22	36	20	32	32	28	23	24	30	48	20	34	22	17	35	19	25	11	49	27	86	43	73	30713
BR715_2 - Adapter 1	4699481	1779547	741465	370001	313543	278797	251185	290590	162165	222454	176942	188162	167785	182441	123560	130023	162013	71869	133316	89794	60918	79789	75107	86222	77962	46211	37498	57916	38736	50834	35010	38587	37657	35784	34189	33007	35478	42196	30391	33170	19717	8806	23824	35864	10774	63640	15404	4497	26298	5340	7733	7487	6196	5778	11753	15002	6154	9440	15104	6048	5650	10991	5966	3334	9217	11811	3915	3674	4235	1468	1866	1987	894	572	561	589	701	1110	1184	1222	1210	998	1006	942	861	776	768	710	644	613	549	535	414	407	367	359	353	341	314	313	280	246	175	170	145	135	122	121	133	120	106	92	84	103	81	74	65	78	76	40	54	51	65	45	36	54	23	27	14	47	29	26	34	20	19	30	41	41	39	30	14	42	30	41	20	51	24	83	43	30	33
BR716_1 - Adapter 1	4554705	1773458	750135	418433	373406	340045	302372	303705	276145	263230	244717	236145	216569	205721	195142	174552	167525	158054	128261	126309	118959	104760	102138	95090	88353	78340	77748	70669	65568	64168	54563	56948	51052	49628	47579	46688	43828	41716	39274	37703	37531	34209	32976	32632	33780	29909	48862	6166	20911	34855	24964	8467	24428	20024	11850	15902	32763	14676	9867	8738	14880	2184	2478	15084	3456	2627	3652	12275	1418	3596	2439	1328	289	873	2445	2836	2787	2493	2272	2145	1928	1681	1491	1438	1301	1360	1300	1134	1063	948	876	725	740	649	556	552	511	506	472	477	372	386	280	272	233	206	203	176	207	165	169	176	111	111	100	101	104	76	72	71	64	59	49	23	30	32	63	20	42	30	29	39	30	23	26	39	41	16	27	21	20	56	26	28	18	59	24	77	33	48	14867
BR716_2 - Adapter 1	4963064	1889855	840194	435479	379424	341827	302909	322211	252752	269299	233467	235984	217860	221858	168641	178059	185664	122681	158235	121526	98020	105638	100247	96880	92812	76241	71402	72778	60692	62992	56144	52530	53148	50109	49980	57312	40624	51342	23861	59623	11862	52618	15534	57334	11980	79545	24883	7032	32377	9434	10467	12268	9043	9736	16260	20040	9824	12994	18776	8700	8623	13114	8573	5482	11258	13752	6909	5473	6726	3075	3180	3038	1566	893	734	739	905	1306	1632	1749	1699	1504	1362	1326	1256	1253	1169	1067	1007	885	842	732	715	608	545	504	482	510	432	452	360	376	277	247	225	205	203	187	199	161	152	135	117	134	110	97	79	93	86	60	76	68	82	41	33	21	24	29	20	34	17	27	37	19	28	39	37	39	23	42	21	43	37	27	32	57	27	75	47	29	41
