Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
s06_1 - Adapter 1	0.8744216335318372	1.022047114643849	0.9312951212903504	1.0009628094887268	0.9947763734627005	0.7353504404442742	1.1558430504723805	3.3094994892747702	14.713896457765667	58.36956521739131	159.34782608695653	490.9090909090909	1440.0	1220.0	1236.6666666666667	950.0	1006.6666666666667	896.6666666666667	756.6666666666667	603.3333333333334	596.6666666666667	370.0	360.0	270.0	196.66666666666669	150.0	190.0	193.33333333333334	166.66666666666669	160.0	183.33333333333334	176.66666666666669	183.33333333333334	263.33333333333337	340.0	200.0	270.0	280.0	356.6666666666667	303.33333333333337	933.3333333333334	423.33333333333337	510.0	623.3333333333334	250.0	860.0	656.6666666666667	1063.3333333333335	630.0	766.6666666666667	38520.0
s06_2 - Adapter 1	0.8910064851848316	1.093683468699271	1.1957784009588197	1.321043770596011	1.1110579173581854	1.2487765436827098	1.5950293642012086	3.4967654068777665	17.697547683923705	68.91304347826087	221.30434782608697	554.5454545454545	1430.0	1303.3333333333335	1266.6666666666667	1020.0	1043.3333333333335	876.6666666666667	800.0	580.0	620.0	450.0	476.6666666666667	343.33333333333337	246.66666666666669	383.33333333333337	260.0	356.6666666666667	273.33333333333337	483.33333333333337	460.0	1086.6666666666667	383.33333333333337	516.6666666666667	396.6666666666667	246.66666666666669	346.6666666666667	526.6666666666667	420.0	483.33333333333337	1070.0	803.3333333333334	823.3333333333334	1913.3333333333335	990.0	1056.6666666666667	1096.6666666666667	1540.0	1850.0	8886.666666666668	20273.333333333336
s07_1 - Adapter 1	0.8875227803267881	1.0544117241767443	1.065967319230794	1.1073009023202318	1.2777203787952303	0.9799757974290477	1.2841355374920083	3.825356229448301	17.850877192982455	78.42105263157895	189.06976744186048	564.5454545454545	1636.6666666666667	1433.3333333333335	1153.3333333333335	1026.6666666666667	1016.6666666666667	936.6666666666667	853.3333333333334	790.0	473.33333333333337	436.6666666666667	346.6666666666667	313.33333333333337	263.33333333333337	256.6666666666667	216.66666666666669	196.66666666666669	190.0	120.0	163.33333333333334	193.33333333333334	150.0	176.66666666666669	216.66666666666669	213.33333333333334	250.0	220.0	223.33333333333334	216.66666666666669	456.6666666666667	390.0	253.33333333333334	370.0	240.0	703.3333333333334	413.33333333333337	806.6666666666667	753.3333333333334	1513.3333333333335	80496.66666666667
s07_2 - Adapter 1	0.8880956052621228	1.0800093507148651	1.2501168393510653	1.3543793854861015	1.3753303612710988	1.4551224969746788	1.7955977714859803	4.099378881987578	21.067251461988302	93.1578947368421	253.0232558139535	603.6363636363636	1570.0	1516.6666666666667	1136.6666666666667	1046.6666666666667	1030.0	936.6666666666667	943.3333333333334	743.3333333333334	496.6666666666667	503.33333333333337	520.0	440.0	333.33333333333337	573.3333333333334	373.33333333333337	380.0	436.6666666666667	633.3333333333334	490.0	1540.0	596.6666666666667	496.6666666666667	376.6666666666667	370.0	390.0	653.3333333333334	530.0	576.6666666666667	956.6666666666667	960.0	826.6666666666667	2683.3333333333335	1463.3333333333335	1150.0	1623.3333333333335	1633.3333333333335	3880.0	17736.666666666668	41126.66666666667
s08_1 - Adapter 1	0.8717162008481623	1.0432580392476158	1.0165178343387062	1.0474207961007311	1.2108438509242931	1.0277188880743398	1.701537486130924	5.110970196575777	21.774397972116603	84.97461928934011	265.51020408163265	776.6666666666667	2360.0	1953.3333333333335	1800.0	1660.0	1476.6666666666667	1373.3333333333335	1223.3333333333335	920.0	873.3333333333334	683.3333333333334	413.33333333333337	366.6666666666667	286.6666666666667	203.33333333333334	226.66666666666669	206.66666666666669	206.66666666666669	196.66666666666669	213.33333333333334	193.33333333333334	190.0	193.33333333333334	180.0	230.0	200.0	233.33333333333334	296.6666666666667	273.33333333333337	323.33333333333337	503.33333333333337	456.6666666666667	343.33333333333337	273.33333333333337	746.6666666666667	370.0	1003.3333333333334	1033.3333333333335	8776.666666666668	279953.3333333334
s08_2 - Adapter 1	0.8837562938586838	1.0719130974063782	1.2540458710057907	1.3477293891541677	1.3197182540468784	1.63876285391611	2.14138532255508	5.190234622701332	25.20912547528517	99.54314720812184	324.48979591836735	861.6666666666667	2370.0	2166.666666666667	1760.0	1706.6666666666667	1543.3333333333335	1320.0	1316.6666666666667	953.3333333333334	876.6666666666667	813.3333333333334	696.6666666666667	520.0	490.0	1213.3333333333335	530.0	840.0	963.3333333333334	1490.0	1376.6666666666667	3906.666666666667	1086.6666666666667	790.0	683.3333333333334	573.3333333333334	620.0	1270.0	1093.3333333333335	1006.6666666666667	2116.666666666667	1610.0	1980.0	7770.0	3923.3333333333335	2216.666666666667	4693.333333333334	4130.0	11143.333333333334	60340.0	168236.6666666667
s09_1 - Adapter 1	0.9026747814688304	1.0538343824570895	1.0749258138231024	1.1089679358717435	1.246387511865837	0.9053897268220652	1.270778837228926	3.695578805264934	17.327935222672068	77.4054054054054	202.17391304347828	576.6666666666667	1746.6666666666667	1473.3333333333335	1200.0	1173.3333333333335	1160.0	943.3333333333334	983.3333333333334	753.3333333333334	650.0	500.0	330.0	290.0	293.33333333333337	176.66666666666669	156.66666666666669	170.0	156.66666666666669	110.0	150.0	170.0	166.66666666666669	163.33333333333334	163.33333333333334	163.33333333333334	200.0	166.66666666666669	200.0	206.66666666666669	283.33333333333337	366.6666666666667	423.33333333333337	253.33333333333334	176.66666666666669	550.0	316.6666666666667	726.6666666666667	570.0	2586.666666666667	92166.66666666667
s09_2 - Adapter 1	0.8997688881622896	1.0827573528412038	1.2671457167144433	1.3881842632633687	1.3508596139647717	1.3840312203354077	1.6412117120918068	3.8710766115423554	21.0391363022942	86.64864864864865	275.21739130434787	645.8333333333334	1790.0	1533.3333333333335	1223.3333333333335	1240.0	1186.6666666666667	993.3333333333334	1026.6666666666667	760.0	640.0	560.0	486.6666666666667	363.33333333333337	340.0	590.0	343.33333333333337	506.6666666666667	556.6666666666667	666.6666666666667	610.0	2026.6666666666667	556.6666666666667	416.6666666666667	403.33333333333337	276.6666666666667	396.6666666666667	833.3333333333334	570.0	510.0	1063.3333333333335	870.0	923.3333333333334	3743.3333333333335	1736.6666666666667	1033.3333333333335	1836.6666666666667	1790.0	4510.0	21293.333333333336	47853.333333333336
s10_1 - Adapter 1	0.8815419094714878	0.9578532504784891	0.7538084716690409	0.8866325551646946	0.6287757653283716	0.47632337891896914	0.7191366638757093	2.389281726832899	9.836309523809524	40.357142857142854	120.0	351.0	986.6666666666667	733.3333333333334	706.6666666666667	566.6666666666667	493.33333333333337	523.3333333333334	406.6666666666667	366.6666666666667	323.33333333333337	216.66666666666669	213.33333333333334	136.66666666666669	73.33333333333334	103.33333333333334	110.0	76.66666666666667	66.66666666666667	56.66666666666667	90.0	126.66666666666667	73.33333333333334	83.33333333333334	150.0	43.333333333333336	96.66666666666667	83.33333333333334	110.0	96.66666666666667	403.33333333333337	166.66666666666669	290.0	196.66666666666669	86.66666666666667	323.33333333333337	256.6666666666667	706.6666666666667	963.3333333333334	9750.0	378190.0
s10_2 - Adapter 1	0.8935580822111084	1.1077218663944286	1.1671112306305782	1.1917463732302236	0.8092566212169666	0.9031072657921666	0.9870685645176295	2.478600669892073	12.44047619047619	49.464285714285715	165.0	434.0	1046.6666666666667	866.6666666666667	743.3333333333334	610.0	556.6666666666667	620.0	510.0	423.33333333333337	386.6666666666667	413.33333333333337	740.0	273.33333333333337	460.0	2190.0	746.6666666666667	1203.3333333333335	1430.0	2616.666666666667	2120.0	8016.666666666667	1476.6666666666667	1126.6666666666667	1026.6666666666667	750.0	820.0	2143.3333333333335	1416.6666666666667	1356.6666666666667	3696.666666666667	2113.3333333333335	2816.666666666667	13400.0	5770.0	2640.0	6886.666666666667	4230.0	17253.333333333336	88823.33333333334	192523.33333333334
