Sample	mRNA	tRNA	lnc_RNA	snoRNA	snRNA	pre_miRNA	SRP_RNA	rRNA	ncRNA	RNase_MRP_RNA	pseudogenic_transcript
s31	15284388.0	223.0	14965.0	584.0	184.0	6.0	305.0	6579.0	53.0	1.0	12.0
s32	13953591.0	245.0	18080.0	943.0	341.0	29.0	263.0	4083.0	4.0	4.0	9.0
s33	16808134.0	187.0	12575.0	434.0	303.0	600.0	147.0	3651.0	47.0	6.0	4.0
s34	13096698.0	218.0	14190.0	1003.0	598.0	26.0	1872.0	40764.0	44.0	23.0	6.0
s35	13792811.0	184.0	12347.0	664.0	373.0	712.0	297.0	4029.0	259.0	1.0	5.0
s36	17490311.0	248.0	27123.0	1365.0	201.0	20.0	461.0	2357.0	2.0	7.0	9.0
s37	17361161.0	274.0	27748.0	771.0	300.0	649.0	152.0	2526.0	180.0	1.0	5.0
s38	14655880.0	185.0	15115.0	675.0	272.0	28.0	154.0	1220.0	120.0	6.0	3.0
s39	11965525.0	183.0	16593.0	613.0	861.0	48.0	502.0	3193.0	16.0	7.0	3.0
s40	14491751.0	203.0	12803.0	435.0	232.0	45.0	181.0	3218.0	131.0	2.0	8.0
s41	19548080.0	323.0	41266.0	897.0	261.0	199.0	176.0	4040.0	68.0	4.0	12.0
s42	20073165.0	246.0	40032.0	424.0	216.0	292.0	75.0	5169.0	62.0	2.0	7.0
s43	19296976.0	251.0	26815.0	785.0	875.0	97.0	192.0	3924.0	5.0	7.0	2.0
s44	15648412.0	283.0	34628.0	622.0	299.0	53.0	112.0	4130.0	33.0	5.0	8.0
s45	19463816.0	174.0	16943.0	531.0	243.0	988.0	484.0	5346.0	220.0	7.0	12.0
s46	20699574.0	302.0	22004.0	702.0	247.0	948.0	224.0	2888.0	462.0	0.0	4.0
s47	22581305.0	405.0	47219.0	1000.0	257.0	265.0	138.0	5694.0	284.0	5.0	9.0
s48	21856626.0	232.0	28754.0	746.0	380.0	1419.0	430.0	6549.0	90.0	13.0	5.0
s49	21156955.0	404.0	26579.0	1905.0	1154.0	24.0	575.0	9714.0	18.0	11.0	3.0
s50	22410580.0	270.0	30165.0	501.0	347.0	368.0	130.0	6558.0	79.0	8.0	6.0
s51	12182752.0	167.0	23844.0	446.0	251.0	150.0	67.0	2788.0	294.0	2.0	2.0
s52	11458494.0	266.0	27324.0	1082.0	720.0	116.0	406.0	4855.0	40.0	5.0	12.0
s53	16123860.0	337.0	25456.0	802.0	355.0	413.0	220.0	3896.0	312.0	2.0	7.0
s54	12072477.0	279.0	32502.0	972.0	330.0	27.0	177.0	1787.0	11.0	2.0	11.0
s55	16078464.0	227.0	21827.0	888.0	287.0	453.0	148.0	1496.0	304.0	2.0	1.0
s56	15191529.0	354.0	41079.0	1076.0	162.0	15.0	232.0	2584.0	46.0	3.0	9.0
s57	15081518.0	336.0	31430.0	1226.0	702.0	124.0	470.0	2896.0	93.0	4.0	3.0
s58	14814682.0	220.0	25604.0	739.0	305.0	1219.0	381.0	11344.0	146.0	4.0	11.0
s59	19789827.0	245.0	32835.0	894.0	398.0	123.0	676.0	7480.0	143.0	4.0	7.0
s60	15022080.0	375.0	34773.0	1300.0	666.0	162.0	479.0	4337.0	39.0	12.0	12.0
s61	18436694.0	252.0	28311.0	720.0	316.0	325.0	467.0	6058.0	407.0	3.0	3.0
s62	15125684.0	329.0	26753.0	639.0	300.0	252.0	967.0	9402.0	192.0	4.0	7.0
s63	14274754.0	217.0	36695.0	546.0	409.0	155.0	134.0	3434.0	190.0	1.0	6.0
s64	19000391.0	202.0	28904.0	4105.0	221.0	61.0	80.0	7199.0	564.0	1.0	16.0
s65	19323636.0	268.0	30094.0	2769.0	697.0	109.0	361.0	7229.0	329.0	120.0	18.0
s66	21891365.0	536.0	23248.0	1841.0	1394.0	96.0	192.0	13866.0	70.0	4.0	56.0
s67	13877624.0	229.0	19678.0	667.0	244.0	12.0	163.0	4956.0	205.0	1.0	19.0
s68	17597921.0	464.0	33094.0	1100.0	234.0	71.0	161.0	3230.0	29.0	2.0	7.0
s69	16258146.0	287.0	26162.0	823.0	250.0	249.0	715.0	24627.0	182.0	4.0	20.0
s70	14635181.0	289.0	25712.0	1546.0	775.0	40.0	442.0	8914.0	43.0	5.0	9.0
s71	17557930.0	159.0	27146.0	645.0	158.0	80.0	150.0	4976.0	155.0	0.0	15.0
s72	22762870.0	352.0	38464.0	2144.0	268.0	59.0	158.0	3269.0	14.0	1.0	32.0
s73	15955945.0	183.0	26715.0	545.0	149.0	201.0	173.0	4537.0	44.0	0.0	26.0
s74	14219089.0	293.0	17358.0	1231.0	331.0	66.0	317.0	6785.0	25.0	8.0	4.0
s75	15144391.0	180.0	22369.0	1793.0	275.0	137.0	313.0	18628.0	518.0	19.0	16.0
s76	16723248.0	199.0	23479.0	2165.0	316.0	113.0	397.0	14411.0	266.0	7.0	17.0
