Sample	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
s35	18009338	2464047	14430086	1115205	0	4928094	4928094	0	0	86.32
s36	21983050	2521318	18431276	1030456	0	5042636	5042636	0	0	88.53
s37	21996360	2696634	18288062	1011664	0	5393268	5393268	0	0	87.74
s38	18304367	2232564	15338464	733339	0	4465128	4465128	0	0	87.8
s39	16016483	2262980	12771583	981920	0	4525960	4525960	0	0	85.87
s40	18152841	2191393	15114800	846648	0	4382786	4382786	0	0	87.93
s41	24694116	2814058	20662741	1217317	0	5628116	5628116	0	0	88.6
s42	24933618	2575647	21053860	1304111	0	5151294	5151294	0	0	89.67
s43	25302776	3507989	20456662	1338125	0	7015978	7015978	0	0	86.14
s44	20555006	2845631	16708766	1000609	0	5691262	5691262	0	0	86.16
s45	24434444	2556287	20284411	1593746	0	5112574	5112574	0	0	89.54
s46	26203266	3138708	21764147	1300411	0	6277416	6277416	0	0	88.02
s47	28895526	3435943	24022947	1436636	0	6871886	6871886	0	0	88.11
s48	27681361	3117289	22917204	1646868	0	6234578	6234578	0	0	88.74
s49	27965955	3013647	22548473	2403835	0	6027294	6027294	0	0	89.22
s50	28127292	3068989	23489974	1568329	0	6137978	6137978	0	0	89.09
s51	14841328	1160681	12836270	844377	0	2321362	2321362	0	0	92.18
s52	15393942	1818885	12223027	1352030	0	3637770	3637770	0	0	88.18
s53	19330256	1141404	16965452	1223400	0	2282808	2282808	0	0	94.1
s54	15887207	2195115	12875207	816885	0	4390230	4390230	0	0	86.18
s55	19223010	1446416	16804230	972364	0	2892832	2892832	0	0	92.48
s56	18459092	1205484	16173557	1080051	0	2410968	2410968	0	0	93.47
s57	18887441	1400260	16016293	1470888	0	2800520	2800520	0	0	92.59
s58	18441948	1421048	15644827	1376073	0	2842096	2842096	0	0	92.29
s59	23613641	977941	20770356	1865344	0	1955882	1955882	0	0	95.86
s60	18710191	1018974	16135734	1555483	0	2037948	2037948	0	0	94.55
s61	21787019	1007537	19206271	1573211	0	2015074	2015074	0	0	95.38
s62	19472128	1632594	15979867	1859667	0	3265188	3265188	0	0	91.62
s63	16921690	980498	15062684	878508	0	1960996	1960996	0	0	94.21
s64	23739764	2564979	20005268	1169517	0	5129958	5129958	0	0	89.2
s65	24266774	2670811	20420921	1175042	0	5341622	5341622	0	0	88.99
s66	27465186	2838252	23248816	1378118	0	5676504	5676504	0	0	89.67
s67	17506884	1959032	14564625	983227	0	3918064	3918064	0	0	88.81
s68	21684505	1910235	18648553	1125717	0	3820470	3820470	0	0	91.19
s69	21308043	2259500	17186213	1862330	0	4519000	4519000	0	0	89.4
s70	19603262	2186786	15645127	1771349	0	4373572	4373572	0	0	88.84
s71	22689297	3148826	18440931	1099540	0	6297652	6297652	0	0	86.12
s72	28897409	3153221	24293539	1450649	0	6306442	6306442	0	0	89.09
s73	21110940	3173783	16829080	1108077	0	6347566	6347566	0	0	84.97
s74	19427667	2999443	15082975	1345249	0	5998886	5998886	0	0	84.56
s75	20429639	3364281	15956732	1108626	0	6728562	6728562	0	0	83.53
s76	22511671	3697645	17622529	1191497	0	7395290	7395290	0	0	83.57
