Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s66_2	s66_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27520340.0	0.0	51.0	52.0	45.25003057457761	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
s67_1	s67_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17692153.0	0.0	51.0	51.0	44.66728457364669	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s67_2	s67_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17692153.0	0.0	51.0	52.0	49.51187427129559	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
s68_1	s68_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21743727.0	0.0	51.0	51.0	45.50891093299756	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s68_2	s68_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21743727.0	0.0	51.0	52.0	47.63073522056535	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
s69_1	s69_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21360868.0	0.0	51.0	52.0	40.68712633835471	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s69_2	s69_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21360868.0	0.0	51.0	53.0	43.164047322115884	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s70_1	s70_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19666768.0	0.0	51.0	52.0	37.80794514157046	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s70_2	s70_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19666768.0	0.0	51.0	53.0	39.59284468777015	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s71_1	s71_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22805135.0	0.0	51.0	52.0	38.123870154166426	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s71_2	s71_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22805135.0	0.0	51.0	53.0	39.31157187298774	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s72_1	s72_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28976042.0	0.0	51.0	52.0	40.54418835076669	51.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
s72_2	s72_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28976042.0	0.0	51.0	52.0	42.72090401880926	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
s73_1	s73_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21213342.0	0.0	51.0	52.0	38.530425516187115	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s73_2	s73_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21213342.0	0.0	51.0	53.0	40.38186846706729	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s74_1	s74_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19609127.0	0.0	51.0	53.0	37.47748700478257	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s74_2	s74_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19609127.0	0.0	51.0	54.0	41.11925652090092	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s75_1	s75_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20528840.0	0.0	51.0	50.0	44.902305535381345	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s75_2	s75_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20528840.0	0.0	51.0	51.0	48.72523601984974	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s76_1	s76_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22625264.0	0.0	51.0	50.0	42.74590178369467	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s76_2	s76_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22625264.0	0.0	51.0	51.0	47.54068167925631	51.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
